Sample_ID,Concentration_mg_mL,Temperature_C,Operator,Timestamp,LIMS_Status,Processed_By_System,Ingestion_Timestamp,Data_Integrity_Hash
SMP-1001,90.97,23.3,Dr. Alcoa,2026-05-25 08:42:57,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:19,-636309828209676264
SMP-1001,90.97,23.3,Dr. Alcoa,2026-05-25 08:42:57,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,7191180867806547476
SMP-1002,101.61,23.9,Dr. Smith,2026-05-25 08:43:02,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,-5273300622428125512
SMP-1003,107.2,22.7,Dr. Alcoa,2026-05-25 08:43:07,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,3180709063722682460
SMP-1004,102.09,25.4,Analyst Jones,2026-05-25 08:43:12,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,-4311594678647610619
SMP-1005,100.56,25.2,Analyst Jones,2026-05-25 08:43:17,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,6341761915290942324
SMP-1006,107.33,25.5,Analyst Jones,2026-05-25 08:43:22,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,6410500514694154216
SMP-1007,102.58,24.1,Analyst Jones,2026-05-25 08:43:27,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,2745200857428404480
SMP-1008,96.65,24.8,Dr. Alcoa,2026-05-25 08:43:32,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,5889667064910068341
SMP-1009,106.86,22.8,Analyst Jones,2026-05-25 08:43:37,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,4682016402968075511
SMP-1010,105.67,23.4,Analyst Jones,2026-05-25 08:43:42,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,1641165663236820604
SMP-1011,106.1,24.8,Analyst Jones,2026-05-25 08:43:47,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,5564980942808637966
SMP-1012,109.65,23.0,Dr. Alcoa,2026-05-25 08:43:52,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,-4169327276954195641
SMP-1013,101.4,22.9,Analyst Jones,2026-05-25 08:43:57,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,-7188870621330945880
SMP-1014,101.72,25.1,Analyst Jones,2026-05-25 08:44:02,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,-5707574992543931650
SMP-1015,99.16,21.6,Analyst Jones,2026-05-25 08:44:07,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,5148949373761929611
SMP-1016,94.42,24.5,Analyst Jones,2026-05-25 08:44:12,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,6921446566402613859
SMP-1017,92.31,21.9,Dr. Alcoa,2026-05-25 08:44:17,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,4185196256118990083
SMP-1018,102.42,21.9,Dr. Alcoa,2026-05-25 08:44:22,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,7433397580734731247
SMP-1019,108.38,25.4,Analyst Jones,2026-05-25 08:44:28,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,-7292664827253927183
SMP-1020,95.21,24.9,Dr. Smith,2026-05-25 08:44:33,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,4289769947515421312
SMP-1021,101.4,24.1,Dr. Alcoa,2026-05-25 08:44:38,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,4061956046712581476
SMP-1022,108.15,23.4,Dr. Alcoa,2026-05-25 08:44:43,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,-1132500321306832259
SMP-1023,101.43,24.2,Dr. Smith,2026-05-25 08:44:48,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,2824657368094374338
SMP-1024,96.73,22.8,Analyst Jones,2026-05-25 08:44:53,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,-6852701486621000905
SMP-1025,95.18,24.2,Dr. Alcoa,2026-05-25 08:44:58,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,480215867935379681
SMP-1026,108.64,22.7,Analyst Jones,2026-05-25 08:45:03,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,-786512427836949406
SMP-1027,102.02,24.5,Dr. Alcoa,2026-05-25 08:45:08,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,8096634823125324178
SMP-1028,108.41,22.5,Analyst Jones,2026-05-25 08:45:13,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,-385954425971125482
SMP-1029,101.18,23.6,Analyst Jones,2026-05-25 08:45:18,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,5759512343487366738
SMP-1030,103.91,24.2,Dr. Alcoa,2026-05-25 08:45:23,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,1937651563528567227
SMP-1031,107.45,24.7,Dr. Alcoa,2026-05-25 08:45:28,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,6215864404507930421
SMP-1032,90.39,23.7,Analyst Jones,2026-05-25 08:45:33,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,8225132252451293091
SMP-1033,104.05,22.6,Dr. Smith,2026-05-25 08:45:38,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,7696845614999848501
SMP-1034,95.35,25.4,Analyst Jones,2026-05-25 08:45:43,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,8422851986291771917
SMP-1035,92.91,23.6,Analyst Jones,2026-05-25 08:45:48,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,7048870519305094768
SMP-1036,97.56,21.8,Dr. Smith,2026-05-25 08:45:53,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,-4377182461730976639
SMP-1037,97.58,23.4,Analyst Jones,2026-05-25 08:45:58,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,-4429980486686842935
SMP-1038,95.82,22.6,Analyst Jones,2026-05-25 08:46:03,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,-598757688436581258
SMP-1039,105.0,25.5,Analyst Jones,2026-05-25 08:46:08,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,-3584225614441265955
SMP-1040,101.68,21.8,Dr. Smith,2026-05-25 08:46:13,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,6744334070138860065
SMP-1041,96.59,24.1,Analyst Jones,2026-05-25 08:46:18,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,1189098508146239822
SMP-1042,108.61,22.7,Analyst Jones,2026-05-25 08:46:23,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,-6667238629240259954
SMP-1043,92.83,23.4,Dr. Smith,2026-05-25 08:46:28,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,596367187423673984
SMP-1044,93.06,21.8,Dr. Smith,2026-05-25 08:46:33,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:50,-4728012382443634580
SMP-1045,101.46,25.2,Analyst Jones,2026-05-25 08:46:38,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,-3381149825468633156
SMP-1046,102.54,21.6,Dr. Smith,2026-05-25 08:46:43,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,46548593246425810
SMP-1047,97.55,23.4,Analyst Jones,2026-05-25 08:46:48,PASS,LIMS_Engine_V1,2026-05-25 08:49:50,-7791490116867235176
SMP-1048,106.21,23.7,Dr. Alcoa,2026-05-25 08:46:53,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:51,-8168966439774370434
SMP-1049,100.77,25.5,Dr. Smith,2026-05-25 08:46:58,PASS,LIMS_Engine_V1,2026-05-25 08:49:51,-2347457084728718407
SMP-1050,93.92,24.5,Analyst Jones,2026-05-25 08:47:03,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:51,-5269606761118000694
SMP-1051,105.04,25.0,Dr. Alcoa,2026-05-25 08:47:08,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:51,-4052798616129372216
SMP-1052,108.82,22.0,Analyst Jones,2026-05-25 08:47:13,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:51,-3290899343936324645
SMP-1053,99.45,23.4,Analyst Jones,2026-05-25 08:47:18,PASS,LIMS_Engine_V1,2026-05-25 08:49:51,6938518218073785851
SMP-1054,106.06,25.4,Analyst Jones,2026-05-25 08:47:23,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:51,-1375227957416540679
SMP-1055,96.24,24.0,Dr. Smith,2026-05-25 08:47:28,PASS,LIMS_Engine_V1,2026-05-25 08:49:51,3263912276739018601
SMP-1056,91.19,24.9,Dr. Smith,2026-05-25 08:47:33,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:51,-1696822133161566856
SMP-1057,105.16,21.9,Dr. Smith,2026-05-25 08:47:38,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:51,3464611548272113960
SMP-1058,104.5,24.9,Dr. Smith,2026-05-25 08:47:43,PASS,LIMS_Engine_V1,2026-05-25 08:49:51,-6614782089150285464
SMP-1059,101.04,21.7,Dr. Alcoa,2026-05-25 08:47:48,PASS,LIMS_Engine_V1,2026-05-25 08:49:51,4628661802678430048
SMP-1060,108.42,24.3,Dr. Alcoa,2026-05-25 08:47:53,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:51,-8892456477720391870
SMP-1061,102.61,22.9,Analyst Jones,2026-05-25 08:47:58,PASS,LIMS_Engine_V1,2026-05-25 08:49:51,5701002681123559171
SMP-1062,96.03,25.0,Dr. Smith,2026-05-25 08:48:03,PASS,LIMS_Engine_V1,2026-05-25 08:49:51,-8722736481527127648
SMP-1063,100.76,25.1,Analyst Jones,2026-05-25 08:48:08,PASS,LIMS_Engine_V1,2026-05-25 08:49:51,7494909006082991636
SMP-1064,104.98,23.7,Dr. Alcoa,2026-05-25 08:48:13,PASS,LIMS_Engine_V1,2026-05-25 08:49:51,-8615782623785037062
SMP-1065,93.23,24.5,Dr. Smith,2026-05-25 08:48:18,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:51,-8724622646799640069
SMP-1066,105.06,24.0,Analyst Jones,2026-05-25 08:48:23,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:51,7268610197032774536
SMP-1067,99.09,24.4,Dr. Alcoa,2026-05-25 08:48:28,PASS,LIMS_Engine_V1,2026-05-25 08:49:51,227560945679442925
SMP-1068,103.89,21.8,Analyst Jones,2026-05-25 08:48:33,PASS,LIMS_Engine_V1,2026-05-25 08:49:51,-8856020334742046559
SMP-1069,99.46,25.2,Analyst Jones,2026-05-25 08:48:38,PASS,LIMS_Engine_V1,2026-05-25 08:49:51,-8991134427175606578
SMP-1070,105.72,23.0,Dr. Alcoa,2026-05-25 08:48:43,FAIL (OOS - Out of Specification),LIMS_Engine_V1,2026-05-25 08:49:51,-697173390326222410
